t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,1,0.004472947031070964,0.0,0.0,0.0,events/second
1775392470,1,0.003942892083167096,0.0,0.0,0.0,events/second
1775392500,1,0.0035249313517768653,0.0,0.0,0.0,events/second
1775392530,1,0.0031871600977020358,0.0,0.0,0.0,events/second
1775392561,1,0.002908731146222452,0.0,0.0,0.0,events/second
1775392591,1,0.0026751111908762688,0.0,0.0,0.0,events/second
1775392621,1,0.002476077489378872,0.0,0.0,0.0,events/second
1775392651,1,0.002304711885661309,0.0,0.0,0.0,events/second
1775392681,1,0.002155589853524141,0.0,0.0,0.0,events/second
1775392711,2,0.004049142434978341,0.0,0.0,0.0,events/second
1775392741,2,0.003817131258329291,0.0,0.0,0.0,events/second
1775392771,2,0.0036093233724894406,0.0,0.0,0.0,events/second
1775392801,2,0.003423821658607918,0.0,0.0,0.0,events/second
1775392831,2,0.0032564666317218163,0.0,0.0,0.0,events/second
1775392861,2,0.0031047413463533816,0.0,0.0,0.0,events/second
1775392891,2,0.0029665213325494036,0.0,0.0,0.0,events/second
1775392921,2,0.0028400735392567437,0.0,0.0,0.0,events/second
1775392951,2,0.0027239709781534532,0.0,0.0,0.0,events/second
1775392981,2,0.0026169160913878543,0.0,0.0,0.0,events/second
1775393011,2,0.0025179726900991743,0.0,0.0,0.0,events/second
1775393041,2,0.002426255260899627,0.0,0.0,0.0,events/second
1775393071,2,0.0023409519349528807,0.0,0.0,0.0,events/second
1775393101,2,0.002261417695917283,0.0,0.0,0.0,events/second
1775393131,2,0.002187153214862615,0.0,0.0,0.0,events/second
1775393161,2,0.00211765234495714,0.0,0.0,0.0,events/second
1775393191,2,0.0020524126685851317,0.0,0.0,0.0,events/second
1775393221,2,0.0019910761044181075,0.0,0.0,0.0,events/second
1775393251,2,0.0019332787973686304,0.0,0.0,0.0,events/second
1775393281,2,0.0018787261470803722,0.0,0.0,0.0,events/second
1775393311,2,0.0018271909332400313,0.0,0.0,0.0,events/second
1775393341,2,0.0017784120589509939,0.0,0.0,0.0,events/second
1775393371,2,0.001732158369617048,0.0,0.0,0.0,events/second
1775393401,2,0.001688258919597575,0.0,0.0,0.0,events/second
1775393431,2,0.0016465422933327396,0.0,0.0,0.0,events/second
1775393461,2,0.001606841340137069,0.0,0.0,0.0,events/second
1775393491,2,0.0015690072724460647,0.0,0.0,0.0,events/second
1775393521,2,0.0015328550468431956,0.0,0.0,0.0,events/second
1775393552,2,0.0014983775479880705,0.0,0.0,0.0,events/second
1775393582,2,0.0014653379405509038,0.0,0.0,0.0,events/second
1775393612,2,0.0014338098045573355,0.0,0.0,0.0,events/second
1775393642,2,0.0014036127776666668,0.0,0.0,0.0,events/second
1775393672,2,0.001374646755408053,0.0,0.0,0.0,events/second
1775393702,2,0.0013468561350949747,0.0,0.0,0.0,events/second
1775393732,2,0.0013201694293300044,0.0,0.0,0.0,events/second
1775393762,2,0.0012945219176260902,0.0,0.0,0.0,events/second
1775393792,2,0.0012697956255661585,0.0,0.0,0.0,events/second
1775393822,2,0.0012460522175685067,0.0,0.0,0.0,events/second
1775393852,2,0.001223182936534919,0.0,0.0,0.0,events/second
1775393882,2,0.0012011308491999338,0.0,0.0,0.0,events/second
1775393912,2,0.00117985555955043,0.0,0.0,0.0,events/second
1775393942,2,0.0011593106673201503,0.0,0.0,0.0,events/second
1775393972,2,0.001139486235821887,0.0,0.0,0.0,events/second
1775394002,2,0.0011203270132377817,0.0,0.0,0.0,events/second
1775394032,2,0.0011018051502245786,0.0,0.0,0.0,events/second
1775394062,2,0.0010838801020205202,0.0,0.0,0.0,events/second
1775394092,2,0.0010665352078691017,0.0,0.0,0.0,events/second
1775394122,2,0.0010497346118637201,0.0,0.0,0.0,events/second
1775394152,2,0.0010334487636971391,0.0,0.0,0.0,events/second
1775394182,2,0.0010176574304540296,0.0,0.0,0.0,events/second
1775394212,2,0.00100235045171837,0.0,0.0,0.0,events/second
1775394242,2,9.874977273529803E-4,0.0,0.0,0.0,events/second
1775394272,2,9.730749947998884E-4,0.0,0.0,0.0,events/second
1775394302,2,9.590661992258957E-4,0.0,0.0,0.0,events/second
1775394332,2,9.454553097193615E-4,0.0,0.0,0.0,events/second
1775394362,2,9.322269951847662E-4,0.0,0.0,0.0,events/second
1775394392,2,9.19366707724977E-4,0.0,0.0,0.0,events/second
1775394422,2,9.068480318621303E-4,0.0,0.0,0.0,events/second
1775394452,2,8.946744067903217E-4,0.0,0.0,0.0,events/second
1775394482,2,8.82817811887531E-4,0.0,0.0,0.0,events/second
1775394512,2,8.712730672730698E-4,0.0,0.0,0.0,events/second
1775394542,2,8.600218166636358E-4,0.0,0.0,0.0,events/second
1775394572,2,8.490649964526629E-4,0.0,0.0,0.0,events/second
1775394602,2,8.383833506416214E-4,0.0,0.0,0.0,events/second
1775394632,2,8.279610958266231E-4,0.0,0.0,0.0,events/second
1775394662,2,8.17800973628713E-4,0.0,0.0,0.0,events/second
1775394692,2,8.07871881803755E-4,0.0,0.0,0.0,events/second
1775394722,2,7.981919837292523E-4,0.0,0.0,0.0,events/second
1775394752,2,7.887458732110972E-4,0.0,0.0,0.0,events/second
1775394782,2,7.795173792968447E-4,0.0,0.0,0.0,events/second
1775394812,2,7.705032343705712E-4,0.0,0.0,0.0,events/second
1775394842,2,7.616941262029628E-4,0.0,0.0,0.0,events/second
