t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1775392230,0,0.0,0.0,0.0,0.0,events/second
1775392260,0,0.0,0.0,0.0,0.0,events/second
1775392290,0,0.0,0.0,0.0,0.0,events/second
1775392320,0,0.0,0.0,0.0,0.0,events/second
1775392350,0,0.0,0.0,0.0,0.0,events/second
1775392380,0,0.0,0.0,0.0,0.0,events/second
1775392410,0,0.0,0.0,0.0,0.0,events/second
1775392440,2,0.00894490489679167,0.0,0.0,0.0,events/second
1775392470,2,0.007884942549305225,0.0,0.0,0.0,events/second
1775392500,2,0.007049532406595083,0.0,0.0,0.0,events/second
1775392530,2,0.0063738287531955986,0.0,0.0,0.0,events/second
1775392561,2,0.005816920582884818,0.0,0.0,0.0,events/second
1775392591,2,0.005349771304565793,0.0,0.0,0.0,events/second
1775392621,2,0.004951818982046084,0.0,0.0,0.0,events/second
1775392651,2,0.00460909260656734,0.0,0.0,0.0,events/second
1775392681,2,0.004310874497488985,0.0,0.0,0.0,events/second
1775392711,2,0.004048872654268168,0.0,0.0,0.0,events/second
1775392741,2,0.003816891596813676,0.0,0.0,0.0,events/second
1775392771,2,0.00360964980214311,0.0,0.0,0.0,events/second
1775392801,2,0.0034236305640836864,0.0,0.0,0.0,events/second
1775392831,2,0.0032562946266488347,0.0,0.0,0.0,events/second
1775392861,2,0.0031045841045501854,0.0,0.0,0.0,events/second
1775392891,2,0.0029663776930433606,0.0,0.0,0.0,events/second
1775392921,2,0.002839942631807025,0.0,0.0,0.0,events/second
1775392951,2,0.0027238484042317714,0.0,0.0,0.0,events/second
1775392981,2,0.002616805112330519,0.0,0.0,0.0,events/second
1775393011,2,0.0025178686706400872,0.0,0.0,0.0,events/second
1775393041,2,0.0024261589604260164,0.0,0.0,0.0,events/second
1775393071,2,0.0023408650672333583,0.0,0.0,0.0,events/second
1775393101,2,0.0022613896062877933,0.0,0.0,0.0,events/second
1775393131,2,0.0021870742895777023,0.0,0.0,0.0,events/second
1775393161,2,0.002117579283655715,0.0,0.0,0.0,events/second
1775393191,2,0.002052343262411904,0.0,0.0,0.0,events/second
1775393221,2,0.001991010709095592,0.0,0.0,0.0,events/second
1775393251,2,0.001933217163865215,0.0,0.0,0.0,events/second
1775393281,2,0.0018786678887594162,0.0,0.0,0.0,events/second
1775393311,2,0.0018271358318695332,0.0,0.0,0.0,events/second
1775393341,2,0.0017783631594449365,0.0,0.0,0.0,events/second
1775393371,2,0.001732109393819355,0.0,0.0,0.0,events/second
1775393401,2,0.00168821198436454,0.0,0.0,0.0,events/second
1775393431,2,0.0016464984532772948,0.0,0.0,0.0,events/second
1775393461,2,0.001606799290615563,0.0,0.0,0.0,events/second
1775393491,2,0.0015689671249795754,0.0,0.0,0.0,events/second
1775393521,2,0.0015328182512347895,0.0,0.0,0.0,events/second
1775393552,2,0.0014983415761717083,0.0,0.0,0.0,events/second
1775393582,2,0.00146530658618861,0.0,0.0,0.0,events/second
1775393612,2,0.0014337759482127585,0.0,0.0,0.0,events/second
1775393642,2,0.0014035803467462562,0.0,0.0,0.0,events/second
1775393672,2,0.0013746173563321023,0.0,0.0,0.0,events/second
1775393702,2,0.0013468264183605799,0.0,0.0,0.0,events/second
1775393732,2,0.001320142538789277,0.0,0.0,0.0,events/second
1775393762,2,0.0012944942606932556,0.0,0.0,0.0,events/second
1775393792,2,0.0012697721630354848,0.0,0.0,0.0,events/second
1775393822,2,0.0012460276511542137,0.0,0.0,0.0,events/second
1775393852,2,0.0012231583207376496,0.0,0.0,0.0,events/second
1775393882,2,0.0012011114690849683,0.0,0.0,0.0,events/second
1775393912,2,0.0011798329260078238,0.0,0.0,0.0,events/second
1775393942,2,0.0011592897394484972,0.0,0.0,0.0,events/second
1775393972,2,0.001139464979184757,0.0,0.0,0.0,events/second
1775394002,2,0.0011203070212146586,0.0,0.0,0.0,events/second
1775394032,2,0.0011017850177950698,0.0,0.0,0.0,events/second
1775394062,2,0.0010838606618437418,0.0,0.0,0.0,events/second
1775394092,2,0.0010665163714162996,0.0,0.0,0.0,events/second
1775394122,2,0.0010497165000390267,0.0,0.0,0.0,events/second
1775394152,2,0.0010334330505319437,0.0,0.0,0.0,events/second
1775394182,2,0.0010176403730370218,0.0,0.0,0.0,events/second
1775394212,2,0.0010023340937571508,0.0,0.0,0.0,events/second
1775394242,2,9.87482006742885E-4,0.0,0.0,0.0,events/second
1775394272,2,9.730604924426455E-4,0.0,0.0,0.0,events/second
1775394302,2,9.590512067742438E-4,0.0,0.0,0.0,events/second
1775394332,2,9.454404969685508E-4,0.0,0.0,0.0,events/second
1775394362,2,9.322131440387912E-4,0.0,0.0,0.0,events/second
1775394392,2,9.193527186622901E-4,0.0,0.0,0.0,events/second
1775394422,2,9.068365988373786E-4,0.0,0.0,0.0,events/second
1775394452,2,8.946612811700602E-4,0.0,0.0,0.0,events/second
1775394482,2,8.828050946280864E-4,0.0,0.0,0.0,events/second
1775394512,2,8.71260693314276E-4,0.0,0.0,0.0,events/second
1775394542,2,8.600100044078002E-4,0.0,0.0,0.0,events/second
1775394572,2,8.490531312824468E-4,0.0,0.0,0.0,events/second
1775394602,2,8.383718220885838E-4,0.0,0.0,0.0,events/second
1775394632,2,8.279499371236293E-4,0.0,0.0,0.0,events/second
1775394662,2,8.17789957463088E-4,0.0,0.0,0.0,events/second
1775394692,2,8.078610768856783E-4,0.0,0.0,0.0,events/second
1775394722,2,7.981814392765993E-4,0.0,0.0,0.0,events/second
1775394752,2,7.887355722195881E-4,0.0,0.0,0.0,events/second
1775394782,2,7.795074406828272E-4,0.0,0.0,0.0,events/second
1775394812,2,7.70493571952367E-4,0.0,0.0,0.0,events/second
1775394842,2,7.616850698490046E-4,0.0,0.0,0.0,events/second
